停車場名稱,剩餘車位,紀錄時間
八里區第一立體停車場,31,2024/01/21 19:49
八里區渡船頭平面停車場,114,2024/01/21 19:49
埤頭平面停車場,26,2024/01/21 19:49
八里龍形平面停車場,11,2024/01/21 19:49
八里中庄段平面停車場,35,2024/01/21 19:49
八里停五平面停車場,14,2024/01/21 19:49
三芝中山立體停車場,35,2024/01/21 19:49
三芝中正立體停車場,60,2024/01/21 19:49
大屯1號停車場,32,2024/01/21 19:49
大屯2號停車場,37,2024/01/21 19:49
鞍部停車場,26,2024/01/21 19:49
疏洪親水公園停車場,85,2024/01/21 19:49
疏洪荷花公園停車場,182,2024/01/21 19:49
疏洪籃球場停車場,37,2024/01/21 19:49
疏洪中山棒球場區停車場,38,2024/01/21 19:49
幸福水漾公園區停車場,157,2024/01/21 19:49
重新機械塔停車場,23,2024/01/21 19:49
永福國小地下停車場,38,2024/01/21 19:49
觀光市集南側停車場,335,2024/01/21 19:49
觀光市集北側區停車場,154,2024/01/21 19:49
文中小平面停車場,8,2024/01/21 19:49
淡水河畔公園停車場,58,2024/01/21 19:49
正義國小地下停車場,9,2024/01/21 19:49
三重區龍門公園地下停車場,41,2024/01/21 19:49
三重區停八平面停車場,7,2024/01/21 19:49
三重區溪美立體停車場,29,2024/01/21 19:49
三重區中山立體停車場,24,2024/01/21 19:49
二重國中地下停車場,5,2024/01/21 19:49
三重區玫瑰平面停車場,160,2024/01/21 19:49
聯邦地下停車場,21,2024/01/21 19:49
忠孝碼頭停車場,18,2024/01/21 19:49
萬善同停車場,46,2024/01/21 19:49
三重環保公園1區停車場,26,2024/01/21 19:49
三重環保公園2區停車場,25,2024/01/21 19:49
碧華國小地下停車場,13,2024/01/21 19:49
二重公園地下停車場,34,2024/01/21 19:49
三重區興穀國小地下停車場,30,2024/01/21 19:49
三重自強臨時平面停車場,29,2024/01/21 19:49
樂遊天地停車場,115,2024/01/21 19:49
三重區二重國民小學地下停車場,14,2024/01/21 19:49
綜合體育館地下停車場,33,2024/01/21 19:49
光復平面停車場,176,2024/01/21 19:49
三重區力行地下停車場,10,2024/01/21 19:49
三重區重新立體停車場,23,2024/01/21 19:49
三重區永福國小地下停車場,38,2024/01/21 19:49
三重仁信段平面停車場,41,2024/01/21 19:49
白雞停車場,212,2024/01/21 19:49
長福平面停車場,28,2024/01/21 19:49
龍埔公園平面停車場,5,2024/01/21 19:49
三峽公有零售市場所屬停車場,56,2024/01/21 19:49
三峽國小地下停車場,159,2024/01/21 19:49
三鶯國民運動中心收費停車場,73,2024/01/21 19:49
土城區員林平面停車場,15,2024/01/21 19:49
土城區裕生立體停車場,15,2024/01/21 19:49
延吉立體停車場,63,2024/01/21 19:49
金城立體停車場,5,2024/01/21 19:49
土城青山平面停車場,21,2024/01/21 19:49
捷運永寧站轉乘停車場,91,2024/01/21 19:49
捷運海山站轉乘停車場,8,2024/01/21 19:49
中洲平面停車場,78,2024/01/21 19:49
土城和平平面停車場,44,2024/01/21 19:49
土城區大安平面停車場,16,2024/01/21 19:49
土城區莒光四村平面停車場,39,2024/01/21 19:49
捷運頂埔站轉乘停車場,15,2024/01/21 19:49
日月光廣場收費停車場,40,2024/01/21 19:49
土城成功水門停車場,100,2024/01/21 19:49
土城區中央公園地下停車場,103,2024/01/21 19:49
環球購物中心停車場,1123,2024/01/21 19:49
華隆停車場,36,2024/01/21 19:49
中和區捷運環狀線高架橋下機車停車場,58,2024/01/21 19:49
中和區和城平面停車場,10,2024/01/21 19:49
民樂立體停車場,9,2024/01/21 19:49
圓通停車場,16,2024/01/21 19:49
中和區民德立體停車場,11,2024/01/21 19:49
中和秀山公園地下停車場,18,2024/01/21 19:49
中和區中和國小地下停車場,41,2024/01/21 19:49
捷運南勢角站轉乘停車場,16,2024/01/21 19:49
中和區復興大樓地下停車場,21,2024/01/21 19:49
佳和公園地下停車場,36,2024/01/21 19:49
新店溪秀朗追風停車場,85,2024/01/21 19:49
積穗國小地下停車場,5,2024/01/21 19:49
中和景新立體停車場,6,2024/01/21 19:49
中和區捷運環狀線高架橋下B區機車停車場,84,2024/01/21 19:49
中和區捷運環狀線高架橋下C區機車停車場,34,2024/01/21 19:49
中和國民運動中心停車場,23,2024/01/21 19:49
疏洪壘球場停車場,23,2024/01/21 19:49
陽光運河區停車場,80,2024/01/21 19:49
疏洪遙控賽車場區停車場,23,2024/01/21 19:49
五股區工商立體停車場,85,2024/01/21 19:49
五股區成州平面停車場,7,2024/01/21 19:49
微風運河第5區停車場,53,2024/01/21 19:49
微風運河第4區停車場,64,2024/01/21 19:49
追風廣場區停車場,67,2024/01/21 19:49
微風運河3停車場,78,2024/01/21 19:49
五股溼地停車場,66,2024/01/21 19:49
疏洪木球場停車場,33,2024/01/21 19:49
五股區永安橋下平面停車場,19,2024/01/21 19:49
台64橋下停車場,54,2024/01/21 19:49
五股區水碓三路平面停車場,15,2024/01/21 19:49
永和國小地下停車場,12,2024/01/21 19:49
永和區福和國中地下停車場,9,2024/01/21 19:49
秀朗國小地下停車場,94,2024/01/21 19:49
新店溪綠寶石停車場,57,2024/01/21 19:49
新店溪福和橋停車場,150,2024/01/21 19:49
新店溪綠光河岸停車場,27,2024/01/21 19:49
永和區保生平面停車場,24,2024/01/21 19:49
網溪國小地下停車場,52,2024/01/21 19:49
頂溪國小地下停車場,50,2024/01/21 19:49
中興街機車停車場,59,2024/01/21 19:49
汐止智興立體停車場,93,2024/01/21 19:49
汐止區城中平面停車場,18,2024/01/21 19:49
汐止區金龍市場地下停車場,19,2024/01/21 19:49
iFG遠雄廣場停車場,21,2024/01/21 19:49
汐止區星光橋南側平面停車場,34,2024/01/21 19:49
汐止區建成段平面停車場,6,2024/01/21 19:49
水柳腳立體停車場,42,2024/01/21 19:49
廣停一平面停車場,63,2024/01/21 19:49
廣停六平面停車場,13,2024/01/21 19:49
林口區停一停車場,46,2024/01/21 19:49
林口區停二停車場,81,2024/01/21 19:49
林口區停四平面停車場,24,2024/01/21 19:49
林口區停五平面停車場,17,2024/01/21 19:49
林口區停三停車場,44,2024/01/21 19:49
廣停七平面停車場,11,2024/01/21 19:49
廣停三平面停車場,15,2024/01/21 19:49
廣停二平面停車場,37,2024/01/21 19:49
廣停五平面停車場,18,2024/01/21 19:49
廣停五平面停車場,18,2024/01/21 19:49
A9林口站停車場,6,2024/01/21 19:49
林口區行政段226地號平面停車場,8,2024/01/21 19:49
助安168林口社宅B區停車場,177,2024/01/21 19:49
助安168林口社宅C區停車場,105,2024/01/21 19:49
助安168林口社宅D區停車場,302,2024/01/21 19:49
助安168林口社宅A區停車場,110,2024/01/21 19:49
新店溪華翠停車場,101,2024/01/21 19:49
新店溪華江停車場,170,2024/01/21 19:49
板橋區民生花市平面停車場,7,2024/01/21 19:49
莊敬立體停車場,22,2024/01/21 19:49
新埔立體停車場,9,2024/01/21 19:49
板橋區華德公園平面停車場,5,2024/01/21 19:49
華東停車場,53,2024/01/21 19:49
重慶公園地下停車場,32,2024/01/21 19:49
新北市立圖書館地下停車場,89,2024/01/21 19:49
板橋環河公園平面停車場,8,2024/01/21 19:49
板橋區板橋高中地下停車場,13,2024/01/21 19:49
板橋區中山國小地下停車場,66,2024/01/21 19:49
板橋國小地下停車場,30,2024/01/21 19:49
府後立體停車場,16,2024/01/21 19:49
特專三平面停車場,28,2024/01/21 19:49
